ID,Sentence
1,"Don'tforgettocheckouttheOnlineLearning Center,www.mhhe.com/forouzan for
additional resources!
Instructors andstudentsusingDataCommunications andNetworking, FourthEdition
byBehrouz A.Forouzan willfindawidevarietyofresources available atthe Online
Learning Center,www.mhhe.comlforouzan
Instructor Resources
Instructors canaccessthefollowing resources bycontacting theirMcGraw-Hill Repre­
sentative forasecurepassword."
2,"aPowerPoint Slides.Containfigures,tables,highlighted points,andbriefdescriptions
ofeachsection."
3,oComplete Solutions Manual.
4,"Password-protected solutions toallend-of-chapter
problems areprovided."
5,aPageout.
6,Afreetoolthathelpsyoucreateyourowncoursewebsite.
7,"DInstructor Message Board.Allowsyoutoshareideaswithotherinstructors
usingthetext."
8,"StudentResources
Thestudentresources areavailable tothosestudentsusingthebook.Onceyouhave
accessed theOnlineLearning Center,clickon""Student Resources,"" thenselectachap­
terfromthedropdownmenuthatappears.Eachchapterhasawealthofmaterials to
helpyoureviewcommunications andnetworking concepts."
9,"Included are:
aChapter Summaries."
10,"Bulleted summary pointsprovideanessential reviewof
majorideasandconcepts coveredineachchapter."
11,aStudentSolutions Manual.
12,Contains answersforodd-numbered problems.oGlossary.
13,Defineskeytermspresented inthebook.oFlashcards.
14,Facilitate learningthroughpracticeandreview.
15,aAnimated Figures.
16,"Visualrepresentations modelkeynetworking concepts, bringing
themtolife."
17,DAutomated Quizzes.
18,"Easy-to-use quizzesstrengthen learningandemphasize impor­
tantideasfromthebook.aWeblinks.Connectstudentstoadditional resources available online.DATA
COMMUNICATIONS
AND
NETWORKINGMcGraw-Hill Forouzan Networking Series
TitlesbyBehrouzA.Forouzan:
DataCommunications andNetworking
TCPflPProtocol Suite
LocalAreaNetworks
Business DataCommunicationsDATA
COMMUNICATIONS
AND
NETWORKING
FourthEdition
BehrouzA.Forouzan
DeAnzaCollege
with
SophiaChungFegan
•HigherEducation
BostonBurrRidge,ILDubuque, IAMadison, WINewYorkSanFrancisco S1.Louis
Bangkok BogotaCaracas KualaLumpur LisbonLondon MadridMexicoCity
MilanMontreal NewDelhiSantiago SeoulSingapore Sydney TaipeiTorontoTheMcGraw·HiII Companies .~I
IIHigherEducation
DATACOMMUNICATIONS ANDNETWORKING, FOURTH EDITION
Published byMcGraw-Hill, abusinessunitofTheMcGraw-Hill Companies."
19,"Inc.,1221Avenue
oftheAmericas, NewYork,NY10020.Copyright ©2007byTheMcGraw-Hill Companies, Inc."
20,AlIrightsreserved.
21,"Nopartofthispublication maybereproduced ordistributed inanyformor
byanymeans,orstoredinadatabase orretrievalsystem,withoutthepriorwrittenconsentof
TheMcGraw-Hill Companies, Inc.,including, butnotlimitedto,inanynetworkorother
electronic storageortransmission, orbroadcast fordistancelearning."
22,"Someancillaries, including electronic andprintcomponents, maynotbeavailable tocustomers
outsidetheUnitedStates."
23,Thisbookisprintedonacid-free paper.
24,"1234567890DOC/DOC09876
ISBN-13 978-0-07-296775-3
ISBN-to 0-07-296775-7
Publisher: AlanR.Apt
Developmental Editor:Rebecca Olson
Executive Marketing Manager: MichaelWeitz
SeniorProjectManager: SheilaM.Frank
SeniorProduction Supervisor: KaraKudronowicz
SeniorMediaProjectManager: JodiK.Banowetz
Associate MediaProducer: Christina Nelson
SeniorDesigner: DavidWHash
CoverDesigner: RokusekDesign
(USE)CoverImage:Womenascending MountMcKinley, Alaska.MountMcKinley (Denali)
12,000feet, ©AllanKearney/Getty Images
Compositor: Interactive Composition Corporation
Typeface: 10/12TimesRoman
Printer:R."
25,"R.Donnelley Crawfordsville, IN
LibraryofCongress Cataloging-in~Publication Data
Forouzan, BehrouzA."
26,Datacommunications andnetworking IBehrouzAForouzan.
27,-4thed.
28,"p.em.-(McGraw-HilI Forouzan networking series)
Includesindex."
29,"ISBN978-0-07-296775-3 -ISBN0-07-296775-7 (hardeopy:alk.paper)
1.Datatransmission systems."
30,2.Computer networks.
31,I.Title.II.Series.
